Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
107,"I. Landi, B.S. Glicksberg, H.-C. Lee, S. Cherng, G. Landi, M. Danieletto, J.T. Dudley, C. Furlanello, R. Miotto",Deep representation learning of electronic health records to unlock patient stratification at scale,2020,npj Digital Medicine,Nature Research,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088112843&doi=10.1038%2fs41746-020-0301-z&partnerID=40&md5=938d24ebdf036cd5ebbb85e281493df7,,134,12/11/2024 21:11,Article,10.1038/s41746-020-0301-z,23986352 (ISSN),,3,1,,,107,26.75,12,9,4,"Deriving disease subtypes from electronic health records (EHRs) can guide next-generation personalized medicine. However, challenges in summarizing and representing patient data prevent widespread practice of scalable EHR-based stratification analysis. Here we present an unsupervised framework based on deep learning to process heterogeneous EHRs and derive patient representations that can efficiently and effectively enable patient stratification at scale. We considered EHRs of 1,608,741 patients from a diverse hospital cohort comprising a total of 57,464 clinical concepts. We introduce a representation learning model based on word embeddings, convolutional neural networks, and autoencoders (i.e., ConvAE) to transform patient trajectories into low-dimensional latent vectors. We evaluated these representations as broadly enabling patient stratification by applying hierarchical clustering to different multi-disease and disease-specific patient cohorts. ConvAE significantly outperformed several baselines in a clustering task to identify patients with different complex conditions, with 2.61 entropy and 0.31 purity average scores. When applied to stratify patients within a certain condition, ConvAE led to various clinically relevant subtypes for different disorders, including type 2 diabetes, Parkinson’s disease, and Alzheimer’s disease, largely related to comorbidities, disease progression, and symptom severity. With these results, we demonstrate that ConvAE can generate patient representations that lead to clinically meaningful insights. This scalable framework can help better understand varying etiologies in heterogeneous sub-populations and unlock patterns for EHR-based research in the realm of personalized medicine. © 2020, The Author(s).",,
95,"W. Wang, Y. Yan, Z. Guo, H. Hou, M. Garcia, X. Tan, E.O. Anto, G. Mahara, Y. Zheng, B. Li, T. Kang, Z. Zhong, Y. Wang, X. Guo, O. Golubnitschaja","All around suboptimal health — a joint position paper of the Suboptimal Health Study Consortium and European Association for Predictive, Preventive and Personalised Medicine",2021,EPMA Journal,Springer Science and Business Media Deutschland GmbH,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114923373&doi=10.1007%2fs13167-021-00253-2&partnerID=40&md5=87f66d35c2b3c631baf894e175be7496,,130,12/11/2024 21:11,Article,10.1007/s13167-021-00253-2,18785077 (ISSN),,12,4,403,433,95,31.67,10,15,3,"First two decades of the twenty-first century are characterised by epidemics of non-communicable diseases such as many hundreds of millions of patients diagnosed with cardiovascular diseases and the type 2 diabetes mellitus, breast, lung, liver and prostate malignancies, neurological, sleep, mood and eye disorders, amongst others. Consequent socio-economic burden is tremendous. Unprecedented decrease in age of maladaptive individuals has been reported. The absolute majority of expanding non-communicable disorders carry a chronic character, over a couple of years progressing from reversible suboptimal health conditions to irreversible severe pathologies and cascading collateral complications. The time-frame between onset of SHS and clinical manifestation of associated disorders is the operational area for an application of reliable risk assessment tools and predictive diagnostics followed by the cost-effective targeted prevention and treatments tailored to the person. This article demonstrates advanced strategies in bio/medical sciences and healthcare focused on suboptimal health conditions in the frame-work of Predictive, Preventive and Personalised Medicine (3PM/PPPM). Potential benefits in healthcare systems and for society at large include but are not restricted to an improved life-quality of major populations and socio-economical groups, advanced professionalism of healthcare-givers and sustainable healthcare economy. Amongst others, following medical areas are proposed to strongly benefit from PPPM strategies applied to the identification and treatment of suboptimal health conditions:Stress overload associated pathologiesMale and female healthPlanned pregnanciesPeriodontal healthEye disordersInflammatory disorders, wound healing and pain management with associated complicationsMetabolic disorders and suboptimal body weightCardiovascular pathologiesCancersStroke, particularly of unknown aetiology and in young individualsSleep medicineSports medicineImproved individual outcomes under pandemic conditions such as COVID-19. © 2021, The Author(s).",,
80,"O. Golubnitschaja, A. Liskova, L. Koklesova, M. Samec, K. Biringer, D. Büsselberg, H. Podbielska, A.A. Kunin, M.E. Evsevyeva, N. Shapira, F. Paul, C. Erb, D.E. Dietrich, D. Felbel, A. Karabatsiakis, R. Bubnov, J. Polivka, J. Polivka, C. Birkenbihl, H. Fröhlich, M. Hofmann-Apitius, P. Kubatka","Caution, “normal” BMI: health risks associated with potentially masked individual underweight—EPMA Position Paper 2021",2021,EPMA Journal,Springer Science and Business Media Deutschland GmbH,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112782476&doi=10.1007%2fs13167-021-00251-4&partnerID=40&md5=ec13fb20b81e60260fe15f534a57213d,,108,12/11/2024 21:11,Article,10.1007/s13167-021-00251-4,18785077 (ISSN),,12,3,243,264,80,26.67,8,22,3,"An increasing interest in a healthy lifestyle raises questions about optimal body weight. Evidently, it should be clearly discriminated between the standardised “normal” body weight and individually optimal weight. To this end, the basic principle of personalised medicine “one size does not fit all” has to be applied. Contextually, “normal” but e.g. borderline body mass index might be optimal for one person but apparently suboptimal for another one strongly depending on the individual genetic predisposition, geographic origin, cultural and nutritional habits and relevant lifestyle parameters—all included into comprehensive individual patient profile. Even if only slightly deviant, both overweight and underweight are acknowledged risk factors for a shifted metabolism which, if being not optimised, may strongly contribute to the development and progression of severe pathologies. Development of innovative screening programmes is essential to promote population health by application of health risks assessment, individualised patient profiling and multi-parametric analysis, further used for cost-effective targeted prevention and treatments tailored to the person. The following healthcare areas are considered to be potentially strongly benefiting from the above proposed measures: suboptimal health conditions, sports medicine, stress overload and associated complications, planned pregnancies, periodontal health and dentistry, sleep medicine, eye health and disorders, inflammatory disorders, healing and pain management, metabolic disorders, cardiovascular disease, cancers, psychiatric and neurologic disorders, stroke of known and unknown aetiology, improved individual and population outcomes under pandemic conditions such as COVID-19. In a long-term way, a significantly improved healthcare economy is one of benefits of the proposed paradigm shift from reactive to Predictive, Preventive and Personalised Medicine (PPPM/3PM). A tight collaboration between all stakeholders including scientific community, healthcare givers, patient organisations, policy-makers and educators is essential for the smooth implementation of 3PM concepts in daily practice. © 2021, The Author(s).",,
76,"W. DeGroat, H. Abdelhalim, K. Patel, D. Mendhe, S. Zeeshan, Z. Ahmed",Discovering biomarkers associated and predicting cardiovascular disease with high accuracy using a novel nexus of machine learning techniques for precision medicine,2024,Scientific Reports,Nature Research,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181253959&doi=10.1038%2fs41598-023-50600-8&partnerID=40&md5=df102cb8745af7c6681bebfa2cb70d4b,,71,12/11/2024 21:11,Article,10.1038/s41598-023-50600-8,20452322 (ISSN),,14,1,,,76,76,13,6,1,"Personalized interventions are deemed vital given the intricate characteristics, advancement, inherent genetic composition, and diversity of cardiovascular diseases (CVDs). The appropriate utilization of artificial intelligence (AI) and machine learning (ML) methodologies can yield novel understandings of CVDs, enabling improved personalized treatments through predictive analysis and deep phenotyping. In this study, we proposed and employed a novel approach combining traditional statistics and a nexus of cutting-edge AI/ML techniques to identify significant biomarkers for our predictive engine by analyzing the complete transcriptome of CVD patients. After robust gene expression data pre-processing, we utilized three statistical tests (Pearson correlation, Chi-square test, and ANOVA) to assess the differences in transcriptomic expression and clinical characteristics between healthy individuals and CVD patients. Next, the recursive feature elimination classifier assigned rankings to transcriptomic features based on their relation to the case–control variable. The top ten percent of commonly observed significant biomarkers were evaluated using four unique ML classifiers (Random Forest, Support Vector Machine, Xtreme Gradient Boosting Decision Trees, and k-Nearest Neighbors). After optimizing hyperparameters, the ensembled models, which were implemented using a soft voting classifier, accurately differentiated between patients and healthy individuals. We have uncovered 18 transcriptomic biomarkers that are highly significant in the CVD population that were used to predict disease with up to 96% accuracy. Additionally, we cross-validated our results with clinical records collected from patients in our cohort. The identified biomarkers served as potential indicators for early detection of CVDs. With its successful implementation, our newly developed predictive engine provides a valuable framework for identifying patients with CVDs based on their biomarker profiles. © 2024, The Author(s).",,
75,"R.M. Hoogeveen, J.P.B. Pereira, N.S. Nurmohamed, V. Zampoleri, M.J. Bom, A. Baragetti, S.M. Boekholdt, P. Knaapen, K.-T. Khaw, N.J. Wareham, A.K. Groen, A.L. Catapano, W. Koenig, E. Levin, E.S.G. Stroes",Improved cardiovascular risk prediction using targeted plasma proteomics in primary prevention,2020,European Heart Journal,Oxford University Press,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096364505&doi=10.1093%2feurheartj%2fehaa648&partnerID=40&md5=3ece859ea731df1e8bb1394eca1d4e1d,,119,12/11/2024 21:11,Article,10.1093/eurheartj/ehaa648,0195668X (ISSN),,41,41,3998,4007,75,18.75,8,15,4,"Aims: In the era of personalized medicine, it is of utmost importance to be able to identify subjects at the highest cardiovascular (CV) risk. To date, single biomarkers have failed to markedly improve the estimation of CV risk. Using novel technology, simultaneous assessment of large numbers of biomarkers may hold promise to improve prediction. In the present study, we compared a protein-based risk model with a model using traditional risk factors in predicting CV events in the primary prevention setting of the European Prospective Investigation (EPIC)-Norfolk study, followed by validation in the Progressione della Lesione Intimale Carotidea (PLIC) cohort. Methods and results: Using the proximity extension assay, 368 proteins were measured in a nested case-control sample of 822 individuals from the EPIC-Norfolk prospective cohort study and 702 individuals from the PLIC cohort. Using tree-based ensemble and boosting methods, we constructed a protein-based prediction model, an optimized clinical risk model, and a model combining both. In the derivation cohort (EPIC-Norfolk), we defined a panel of 50 proteins, which outperformed the clinical risk model in the prediction of myocardial infarction [area under the curve (AUC) 0.754 vs. 0.730; P < 0.001] during a median follow-up of 20 years. The clinically more relevant prediction of events occurring within 3 years showed an AUC of 0.732 using the clinical risk model and an AUC of 0.803 for the protein model (P < 0.001). The predictive value of the protein panel was confirmed to be superior to the clinical risk model in the validation cohort (AUC 0.705 vs. 0.609; P < 0.001). Conclusion: In a primary prevention setting, a proteome-based model outperforms a model comprising clinical risk factors in predicting the risk of CV events. Validation in a large prospective primary prevention cohort is required to address the value for future clinical implementation in CV prevention.  © 2020 The Author(s) 2020. Published by Oxford University Press on behalf of the European Society of Cardiology.",,
67,"O. Strianese, F. Rizzo, M. Ciccarelli, G. Galasso, Y. D’agostino, A. Salvati, C. Del Giudice, P. Tesorio, M.R. Rusciano",Precision and personalized medicine: How genomic approach improves the management of cardiovascular and neurodegenerative disease,2020,Genes,MDPI AG,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087638994&doi=10.3390%2fgenes11070747&partnerID=40&md5=22521a5a167a78ded2df8dbf3e85dad7,,101,12/11/2024 21:11,Article,10.3390/genes11070747,20734425 (ISSN),,11,7,1,24,67,16.75,7,9,4,"Life expectancy has gradually grown over the last century. This has deeply affected healthcare costs, since the growth of an aging population is correlated to the increasing burden of chronic diseases. This represents the interesting challenge of how to manage patients with chronic diseases in order to improve health care budgets. Effective primary prevention could represent a promising route. To this end, precision, together with personalized medicine, are useful instruments in order to investigate pathological processes before the appearance of clinical symptoms and to guide physicians to choose a targeted therapy to manage the patient. Cardiovascular and neurodegenerative diseases represent suitable models for taking full advantage of precision medicine technologies applied to all stages of disease development. The availability of high technology incorporating artificial intelligence and advancement progress made in the field of biomedical research have been substantial to understand how genes, epigenetic modifications, aging, nutrition, drugs, microbiome and other environmental factors can impact health and chronic disorders. The aim of the present review is to address how precision and personalized medicine can bring greater clarity to the clinical and biological complexity of these types of disorders associated with high mortality, involving tremendous health care costs, by describing in detail the methods that can be applied. This might offer precious tools for preventive strategies and possible clues on the evolution of the disease and could help in predicting morbidity, mortality and detecting chronic disease indicators much earlier in the disease course. This, of course, will have a major effect on both improving the quality of care and quality of life of the patients and reducing time efforts and healthcare costs. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",,
66,"G.Y.H. Lip, A. Genaidy, G. Tran, P. Marroquin, C. Estes, S. Sloop","Improving Stroke Risk Prediction in the General Population: A Comparative Assessment of Common Clinical Rules, a New Multimorbid Index, and Machine-Learning-Based Algorithms",2021,Thrombosis and Haemostasis,Georg Thieme Verlag,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106357978&doi=10.1055%2fa-1467-2993&partnerID=40&md5=5a4c52650a7af33acf22f2065b843106,,104,12/11/2024 21:11,Article,10.1055/a-1467-2993,03406245 (ISSN),,122,1,142,150,66,22,11,6,3,"Background  There are few large studies examining and predicting the diversified cardiovascular/noncardiovascular comorbidity relationships with stroke. We investigated stroke risks in a very large prospective cohort of patients with multimorbidity, using two common clinical rules, a clinical multimorbid index and a machine-learning (ML) approach, accounting for the complex relationships among variables, including the dynamic nature of changing risk factors. Methods  We studied a prospective U.S. cohort of 3,435,224 patients from medical databases in a 2-year investigation. Stroke outcomes were examined in relationship to diverse multimorbid conditions, demographic variables, and other inputs, with ML accounting for the dynamic nature of changing multimorbidity risk factors, two clinical risk scores, and a clinical multimorbid index. Results  Common clinical risk scores had moderate and comparable c indices with stroke outcomes in the training and external validation samples (validation-CHADS 2: c index 0.812, 95% confidence interval [CI] 0.808-0.815; CHA 2 DS 2 -VASc: c index 0.809, 95% CI 0.805-0.812). A clinical multimorbid index had higher discriminant validity values for both the training/external validation samples (validation: c index 0.850, 95% CI 0.847-0.853). The ML-based algorithms yielded the highest discriminant validity values for the gradient boosting/neural network logistic regression formulations with no significant differences among the ML approaches (validation for logistic regression: c index 0.866, 95% CI 0.856-0.876). Calibration of the ML-based formulation was satisfactory across a wide range of predicted probabilities. Decision curve analysis demonstrated that clinical utility for the ML-based formulation was better than that for the two current clinical rules and the newly developed multimorbid tool. Also, ML models and clinical stroke risk scores were more clinically useful than the treat all strategy. Conclusion  Complex relationships of various comorbidities uncovered using a ML approach for diverse (and dynamic) multimorbidity changes have major consequences for stroke risk prediction. This approach may facilitate automated approaches for dynamic risk stratification in the significant presence of multimorbidity, helping in the decision-making process for risk assessment and integrated/holistic management. © 2021. Thieme. All rights reserved.",,
58,"C. Napoli, G. Benincasa, C. Schiano, M. Salvatore",Differential epigenetic factors in the prediction of cardiovascular risk in diabetic patients,2020,European Heart Journal - Cardiovascular Pharmacotherapy,Oxford University Press,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088260978&doi=10.1093%2fEHJCVP%2fPVZ062&partnerID=40&md5=2bdf2095b99b059a1ffb040b66fa9469,,125,12/11/2024 21:11,Article,10.1093/EHJCVP/PVZ062,20556837 (ISSN),,6,4,239,247,58,14.5,15,4,4,"Hyperglycaemia can strongly alter the epigenetic signatures in many types of human vascular cells providing persistent perturbations of protein-protein interactions both in micro- and macro-domains. The establishment of these epigenetic changes may precede cardiovascular (CV) complications and help us to predict vascular lesions in diabetic patients. Importantly, these epigenetic marks may be transmitted across several generations (transgenerational effect) and increase the individual risk of disease. Aberrant DNA methylation and imbalance of histone modifications, mainly acetylation and methylation of H3, represent key determinants of vascular lesions and, thus, putative useful biomarkers for prevention and diagnosis of CV risk in diabetics. Moreover, a differential expression of some micro-RNAs (miRNAs), mainly miR-126, may be a useful prognostic biomarker for atherosclerosis development in asymptomatic subjects. Recently, also environmental-induced chemical perturbations in mRNA (epitranscriptome), mainly the N6-methyladenosine, have been associated with obesity and diabetes. Importantly, reversal of epigenetic changes by modulation of lifestyle and use of metformin, statins, fenofibrate, and apabetalone may offer useful therapeutic options to prevent or delay CV events in diabetics increasing the opportunity for personalized therapy. Network medicine is a promising molecular-bioinformatic approach to identify the signalling pathways underlying the pathogenesis of CV lesions in diabetic patients. Moreover, machine learning tools combined with tomography are advancing the individualized assessment of CV risk in these patients. We remark the need for combining epigenetics and advanced bioinformatic platforms to improve the prediction of vascular lesions in diabetics increasing the opportunity for CV precision medicine. © The Author(s) 2019. Published by Oxford University Press on behalf of the European Society of Cardiology.",,
51,"G. Adami, A. Fassio, D. Gatti, O. Viapiana, C. Benini, M.I. Danila, K.G. Saag, M. Rossini",Osteoporosis in 10 years time: a glimpse into the future of osteoporosis,2022,Therapeutic Advances in Musculoskeletal Disease,SAGE Publications Ltd,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127688502&doi=10.1177%2f1759720X221083541&partnerID=40&md5=86a0e221348af0313cec8fee6c09f77a,,6,12/11/2024 21:11,Article,10.1177/1759720X221083541,1759720X (ISSN),,14,,,,51,25.5,6,8,2,"Patients living with osteoporosis are projected to increase dramatically in the next decade. Alongside the forecasted increased societal and economic burden, we will live a crisis of fractures. However, we will have novel pharmacological treatment to face this crisis and, more importantly, new optimized treatment strategies. Fracture liaison services will be probably implemented on a large scale worldwide, helping to prevent additional fractures in high-risk patients. In the next decade, novel advances in the diagnostic tools will be largely available. Moreover, new and more precise fracture risk assessment tools will change our ability to detect patients at high risk of fractures. Finally, big data and artificial intelligence will help us to move forward into the world of precision medicine. In the present review, we will discuss the future epidemiology and costs of osteoporosis, the advances in early and accurate diagnosis of osteoporosis, with a special focus on biomarkers and imaging tools. Then we will examine new and refined fracture risk assessment tools, the role of fracture liaison services, and a future perspective on osteoporosis treatment. © The Author(s), 2022.",,
44,"C.B. Collin, T. Gebhardt, M. Golebiewski, T. Karaderi, M. Hillemanns, F.M. Khan, A. Salehzadeh-Yazdi, M. Kirschner, S. Krobitsch, L. Kuepfer",Computational Models for Clinical Applications in Personalized Medicine—Guidelines and Recommendations for Data Integration and Model Validation,2022,Journal of Personalized Medicine,MDPI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124959672&doi=10.3390%2fjpm12020166&partnerID=40&md5=2c239a7904874c3a05c59a8a3e3d2a05,,28,12/11/2024 21:11,Article,10.3390/jpm12020166,20754426 (ISSN),,12,2,,,44,22,4,10,2,"The future development of personalized medicine depends on a vast exchange of data from different sources, as well as harmonized integrative analysis of large-scale clinical health and sample data. Computational-modelling approaches play a key role in the analysis of the underlying molecular processes and pathways that characterize human biology, but they also lead to a more profound understanding of the mechanisms and factors that drive diseases; hence, they allow personalized treatment strategies that are guided by central clinical questions. However, despite the growing popularity of computational-modelling approaches in different stakeholder communities, there are still many hurdles to overcome for their clinical routine implementation in the future. Especially the integration of heterogeneous data from multiple sources and types are challenging tasks that require clear guidelines that also have to comply with high ethical and legal standards. Here, we discuss the most relevant computational models for personalized medicine in detail that can be considered as best-practice guidelines for application in clinical care. We define specific challenges and provide applicable guidelines and recommendations for study design, data acquisition, and operation as well as for model validation and clinical translation and other research areas. © 2022 by the authors.",,
